更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
东方卫视,http://182.135.34.97:888/rtp/239.94.0.119:5140$四川电信
东方卫视,http://182.135.34.97:888/rtp/239.94.0.64:5140$四川电信
东方卫视,http://121.238.250.95:8800/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://111.193.235.246:8888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
深圳卫视,http://113.120.108.132:4000/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://116.237.61.115:4022/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://116.237.61.115:4022/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.113:5140$四川电信
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.66:5140$四川电信
深圳卫视,http://121.238.250.95:8800/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://111.193.235.246:8888/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
北京卫视,http://113.120.108.132:4000/rtp/239.21.1.88:5002$山东电信
北京卫视,http://116.237.61.115:4022/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://116.237.61.115:4022/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.111:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.112:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.65:5140$四川电信
北京卫视,http://121.238.250.95:8800/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://111.193.235.246:8888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
广东卫视,http://113.120.108.132:4000/rtp/239.21.1.92:5002$山东电信
广东卫视,http://116.237.61.115:4022/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://116.237.61.115:4022/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://182.135.34.97:888/rtp/239.94.0.114:5140$四川电信
广东卫视,http://182.135.34.97:888/rtp/239.94.0.67:5140$四川电信
广东卫视,http://121.238.250.95:8800/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://111.193.235.246:8888/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广西卫视,http://116.237.61.115:4022/rtp/233.18.204.107:5140$上海市电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
